"date","ville","pays","no2","o3","pm25","temp_max","temp_min","temp_moy","amplitude","humidite"
2023-09-24,"Helsinki","Finlande",3.19,61.28,3.48,16,12,14,4,88
2023-09-25,"Helsinki","Finlande",6.25,57.26,3.66,16,9,12.5,7,88
2023-09-26,"Helsinki","Finlande",4.41,74.61,5.02,16,13,14.5,3,89
2023-09-27,"Helsinki","Finlande",6.465,45.71,7.06,16,12,14,4,91
2023-09-28,"Helsinki","Finlande",8.52,61.72,9.24,18,14,16,4,96
2023-09-29,"Helsinki","Finlande",7.91,61.21,11.47,17,14,15.5,3,87
2023-09-30,"Helsinki","Finlande",4.72,61.45,5.17,16,12,14,4,97
2023-10-01,"Helsinki","Finlande",1.91,59.32,2.2,14,9,11.5,5,85
2023-10-02,"Helsinki","Finlande",8.95,50.91,3.3,14,8,11,6,89
2023-10-03,"Helsinki","Finlande",7.6,43.8,2.89,13,10,11.5,3,95
2023-10-04,"Helsinki","Finlande",6.27,50.54,3.58,11,9,10,2,93
2023-10-05,"Helsinki","Finlande",11.23,33.51,3.06,11,6,8.5,5,87
2023-10-06,"Helsinki","Finlande",6.48,48.71,1.95,10,3,6.5,7,82
2023-10-07,"Helsinki","Finlande",1.72,51.36,2.48,12,3,7.5,9,95
2023-10-08,"Helsinki","Finlande",1.77,51.39,3.41,5,3,4,2,83
2023-10-09,"Helsinki","Finlande",9.98,35.73,2.63,7,2,4.5,5,84
2023-10-10,"Helsinki","Finlande",13.09,42.65,2.94,9,3,6,6,83
2023-10-11,"Helsinki","Finlande",5.05,58.16,4.29,13,9,11,4,95
2023-10-12,"Helsinki","Finlande",3.19,66.87,2.96,10,7,8.5,3,78
2023-10-13,"Helsinki","Finlande",5.5,58.99,2.35,10,6,8,4,87
2023-10-14,"Helsinki","Finlande",3.25,63.22,3.4,14,9,11.5,5,95
2023-10-15,"Helsinki","Finlande",1.89,59.56,3.52,9,5,7,4,85
2023-10-16,"Helsinki","Finlande",4.93,51.21,3.42,7,4,5.5,3,82
2023-10-17,"Helsinki","Finlande",14.44,36.84,3.38,7,3,5,4,89
2023-10-18,"Helsinki","Finlande",12.9,33.42,5.11,4,0,2,4,80
2023-10-19,"Helsinki","Finlande",9.24,41.52,4.14,3,-1,1,4,86
2023-10-20,"Helsinki","Finlande",6.75,52.77,3.47,3,0,1.5,3,84
2023-10-21,"Helsinki","Finlande",7.72,50.9,3.17,5,1,3,4,76
2023-10-22,"Helsinki","Finlande",7.48,24.4,2.71,6,4,5,2,92
2023-10-23,"Helsinki","Finlande",16.57,8.47,5.82,5,3,4,2,91
2023-10-24,"Helsinki","Finlande",11.57,35.57,5.31,3,0,1.5,3,91
2023-10-25,"Helsinki","Finlande",14.66,37.81,3.88,4,1,2.5,3,88
2023-10-26,"Helsinki","Finlande",7.74,46.42,3.52,4,2,3,2,66
2023-10-27,"Helsinki","Finlande",11.51,30.1,5.49,3,1,2,2,96
2023-10-28,"Helsinki","Finlande",6.38,39.41,5.42,2,-1,0.5,3,92
2023-10-29,"Helsinki","Finlande",8.67,45.12,4.24,1,-3,-1,4,82
2023-10-30,"Helsinki","Finlande",22.29,20.18,5.61,2,-1,0.5,3,98
2023-10-31,"Helsinki","Finlande",11.5,21.31,2.78,6,0,3,6,94
2023-11-01,"Helsinki","Finlande",8.92,27.4,2.41,5,2,3.5,3,95
2023-11-02,"Helsinki","Finlande",14.55,35.68,3.6,3,1,2,2,81
2023-11-03,"Helsinki","Finlande",8.44,36.79,4.11,8,3,5.5,5,89
2023-11-04,"Helsinki","Finlande",3.47,47.7,4.89,8,7,7.5,1,92
2023-11-05,"Helsinki","Finlande",8.82,31.16,4.3,9,7,8,2,95
2023-11-06,"Helsinki","Finlande",16.66,20.49,6.72,7,6,6.5,1,98
2023-11-07,"Helsinki","Finlande",10.32,22.86,5.93,7,6,6.5,1,92
2023-11-08,"Helsinki","Finlande",12.25,32.02,4.72,7,5,6,2,90
2023-11-09,"Helsinki","Finlande",28.9,6.92,6.58,8,5,6.5,3,96
2023-11-10,"Helsinki","Finlande",11.07,31.16,5.83,7,5,6,2,94
2023-11-11,"Helsinki","Finlande",8.12,27.01,9.91,8,6,7,2,95
2023-11-12,"Helsinki","Finlande",6.88,22.05,2.18,6,4,5,2,94
2023-11-13,"Helsinki","Finlande",10.09,36.33,2.2,4,0,2,4,98
2023-11-14,"Helsinki","Finlande",12.58,37.3,5.08,1,-1,0,2,87
2023-11-15,"Helsinki","Finlande",11.29,40.6,5.38,0,-1,-0.5,1,85
2023-11-16,"Helsinki","Finlande",13.93,54.79,4.64,-1,-3,-2,2,84
2023-11-17,"Helsinki","Finlande",26.61,36.13,6.03,0,-3,-1.5,3,84
2023-11-18,"Helsinki","Finlande",16.82,46.54,4.27,0,-3,-1.5,3,78
2023-11-19,"Helsinki","Finlande",12.09,51.93,2.19,-1,-3,-2,2,96
2023-11-20,"Helsinki","Finlande",13.28,41.75,4.52,1,-2,-0.5,3,87
2023-11-21,"Helsinki","Finlande",17.29,34.49,5.9,-2,-6,-4,4,92
2023-11-22,"Helsinki","Finlande",16.67,42.63,3.93,1,-5,-2,6,89
2023-11-23,"Helsinki","Finlande",23.73,36.83,2.1,2,1,1.5,1,97
2023-11-24,"Helsinki","Finlande",10.71,39.46,4.58,0,-5,-2.5,5,92
2023-11-25,"Helsinki","Finlande",12.12,45.44,5.76,-5,-9,-7,4,84
2023-11-26,"Helsinki","Finlande",13.83,34.23,7.56,-6,-7,-6.5,1,76
2023-11-27,"Helsinki","Finlande",16.95,33.47,5.6,-5,-7,-6,2,87
2023-11-28,"Helsinki","Finlande",13.44,31.27,5.15,0,-7,-3.5,7,91
2023-11-29,"Helsinki","Finlande",18.98,23.63,5.99,-1,-3,-2,2,89
2023-11-30,"Helsinki","Finlande",11.27,35.48,4.7,-3,-5,-4,2,92
2023-12-01,"Helsinki","Finlande",15.05,31.86,6.41,-4,-9,-6.5,5,92
2023-12-02,"Helsinki","Finlande",13.77,25.79,8.18,-9,-12,-10.5,3,95
2023-12-03,"Helsinki","Finlande",16.86,14.36,7.44,-8,-13,-10.5,5,95
2023-12-04,"Helsinki","Finlande",24.22,11.12,7.9,-9,-13,-11,4,96
2023-12-05,"Helsinki","Finlande",38.54,4.35,11.65,-2,-13,-7.5,11,94
2023-12-06,"Helsinki","Finlande",11.38,31.74,5.63,-1,-7,-4,6,94
2023-12-07,"Helsinki","Finlande",7.54,43.4,4.95,-4,-8,-6,4,91
2023-12-08,"Helsinki","Finlande",17.9,27.03,6.54,-4,-5,-4.5,1,91
2023-12-09,"Helsinki","Finlande",22.93,8.99,7.93,-5,-5,-5,0,89
2023-12-10,"Helsinki","Finlande",8.25,21.43,7.89,-3,-4,-3.5,1,94
2023-12-11,"Helsinki","Finlande",21.53,10.54,9.19,0,-4,-2,4,96
2023-12-12,"Helsinki","Finlande",22.48,10.45,8.43,-3,-4,-3.5,1,94
2023-12-13,"Helsinki","Finlande",26.52,5.2,8.22,-5,-6,-5.5,1,94
2023-12-14,"Helsinki","Finlande",28.17,1.65,8.3,-8,-13,-10.5,5,96
2023-12-15,"Helsinki","Finlande",24.21,2.63,10.29,-7,-10,-8.5,3,96
2023-12-16,"Helsinki","Finlande",15.51,35.11,4.57,3,-10,-3.5,13,96
2023-12-17,"Helsinki","Finlande",8.56,61.86,3.68,4,-1,1.5,5,80
2023-12-18,"Helsinki","Finlande",10.38,43.56,2.3,2,-1,0.5,3,97
2023-12-19,"Helsinki","Finlande",7.4,56.69,1.58,5,1,3,4,98
2023-12-20,"Helsinki","Finlande",25.16,47.94,3.95,1,-4,-1.5,5,87
2023-12-21,"Helsinki","Finlande",21.09,39.61,3.2,1,-2,-0.5,3,97
2023-12-22,"Helsinki","Finlande",6.37,49.83,3.22,0,-1,-0.5,1,95
2023-12-23,"Helsinki","Finlande",10.24,29.71,4.76,1,-4,-1.5,5,95
2023-12-24,"Helsinki","Finlande",4.74,37.74,3.41,-2,-7,-4.5,5,97
2023-12-25,"Helsinki","Finlande",8.6,37.57,4.33,-1,-6,-3.5,5,96
2023-12-26,"Helsinki","Finlande",16.8,20.93,9.17,-5,-8,-6.5,3,96
2023-12-27,"Helsinki","Finlande",13.97,41,5.47,-3,-7,-5,4,95
2023-12-28,"Helsinki","Finlande",12.51,59.22,3.12,-1,-7,-4,6,93
2023-12-29,"Helsinki","Finlande",7.6,36.7,3.1,2,-1,0.5,3,99
2023-12-30,"Helsinki","Finlande",11.12,38.23,5.09,2,-7,-2.5,9,99
2023-12-31,"Helsinki","Finlande",14.85,30.62,12.4,-10,-14,-12,4,92
2024-01-01,"Helsinki","Finlande",11.2,51.13,8.08,-15,-16,-15.5,1,94
2024-01-02,"Helsinki","Finlande",21.64,43.91,4.52,-15,-18,-16.5,3,95
2024-01-03,"Helsinki","Finlande",18.09,45.68,3.93,-9,-17,-13,8,94
2024-01-04,"Helsinki","Finlande",15.97,45.32,4.65,-15,-18,-16.5,3,95
2024-01-05,"Helsinki","Finlande",16.77,47.6,5.35,-13,-16,-14.5,3,95
2024-01-06,"Helsinki","Finlande",24.07,37.18,10.72,-12,-18,-15,6,93
2024-01-07,"Helsinki","Finlande",45.5,23.54,13.37,-15,-21,-18,6,95
2024-01-08,"Helsinki","Finlande",18.25,49.86,5.19,-4,-14,-9,10,94
2024-01-09,"Helsinki","Finlande",10.04,59.24,2.4,2,-8,-3,10,96
2024-01-10,"Helsinki","Finlande",13.82,55.2,1.43,2,-1,0.5,3,99
2024-01-11,"Helsinki","Finlande",16.32,58.59,4.3,2,-10,-4,12,83
2024-01-12,"Helsinki","Finlande",15.05,51.96,4.77,-6,-16,-11,10,95
2024-01-13,"Helsinki","Finlande",14.66,49.71,2.88,-7,-14,-10.5,7,84
2024-01-14,"Helsinki","Finlande",11.91,43.09,6.38,-7,-10,-8.5,3,96
2024-01-15,"Helsinki","Finlande",25.25,28.28,8.09,-9,-15,-12,6,96
2024-01-16,"Helsinki","Finlande",20.27,46.6,7.85,-14,-19,-16.5,5,92
2024-01-17,"Helsinki","Finlande",36.91,40.67,5.95,-7,-23,-15,16,97
2024-01-18,"Helsinki","Finlande",14.2,57.01,4.34,-2,-10,-6,8,96
2024-01-19,"Helsinki","Finlande",14.5,48.58,7.89,-9,-20,-14.5,11,90
2024-01-20,"Helsinki","Finlande",54.19,17.95,9.45,-12,-21,-16.5,9,99
2024-01-21,"Helsinki","Finlande",21.1,47.48,9.1,1,-17,-8,18,97
2024-01-22,"Helsinki","Finlande",8.87,56.87,4.26,1,-1,0,2,97
2024-01-23,"Helsinki","Finlande",9.43,66.38,6.45,2,0,1,2,98
2024-01-24,"Helsinki","Finlande",12.09,52.53,2.53,1,-3,-1,4,98
2024-01-25,"Helsinki","Finlande",10.33,51.59,4.74,0,-6,-3,6,93
2024-01-26,"Helsinki","Finlande",17.24,55.85,2.88,-7,-13,-10,6,94
2024-01-27,"Helsinki","Finlande",4.75,59.88,4.48,-2,-8,-5,6,94
2024-01-28,"Helsinki","Finlande",8.49,52.76,3.33,2,-1,0.5,3,99
2024-01-29,"Helsinki","Finlande",11.66,49.13,7.92,3,1,2,2,87
2024-01-30,"Helsinki","Finlande",29.18,16.01,10.94,1,-2,-0.5,3,98
2024-01-31,"Helsinki","Finlande",13.77,23.19,8.53,2,1,1.5,1,100
2024-02-01,"Helsinki","Finlande",2.02,79.08,5.87,2,-2,0,4,97
2024-02-02,"Helsinki","Finlande",8.84,72.36,3.16,0,-4,-2,4,86
2024-02-03,"Helsinki","Finlande",11.32,58.5,4.1,2,-2,0,4,99
2024-02-04,"Helsinki","Finlande",4.46,76.41,2.94,0,-5,-2.5,5,79
2024-02-05,"Helsinki","Finlande",11.23,61.3,4.38,-2,-8,-5,6,92
2024-02-06,"Helsinki","Finlande",15.19,47.52,5.45,-7,-12,-9.5,5,94
2024-02-07,"Helsinki","Finlande",15.35,41.95,6.19,-9,-14,-11.5,5,91
2024-02-08,"Helsinki","Finlande",28.29,32.19,10.56,-12,-18,-15,6,98
2024-02-09,"Helsinki","Finlande",37.9,29.67,11.49,-10,-17,-13.5,7,96
2024-02-10,"Helsinki","Finlande",20.39,44.96,7.63,-8,-18,-13,10,95
2024-02-11,"Helsinki","Finlande",18.53,45.4,7.69,-7,-12,-9.5,5,93
2024-02-12,"Helsinki","Finlande",14.58,53.06,6.99,-6,-10,-8,4,96
2024-02-13,"Helsinki","Finlande",12.26,59.79,6.37,-6,-9,-7.5,3,84
2024-02-14,"Helsinki","Finlande",16.08,34.53,7,0,-5,-2.5,5,99
2024-02-15,"Helsinki","Finlande",17.68,24.58,7.38,0,-2,-1,2,99
2024-02-16,"Helsinki","Finlande",10.4,41.56,2.19,1,-3,-1,4,96
2024-02-17,"Helsinki","Finlande",5.97,52.42,5.57,3,-3,0,6,99
2024-02-18,"Helsinki","Finlande",21.57,59.91,4.94,-1,-9,-5,8,89
2024-02-19,"Helsinki","Finlande",14.05,56.14,3.06,-1,-9,-5,8,94
2024-02-20,"Helsinki","Finlande",12.63,53.47,4.68,-1,-8,-4.5,7,94
2024-02-21,"Helsinki","Finlande",10.81,40.93,6.01,-1,-3,-2,2,96
2024-02-22,"Helsinki","Finlande",12.4,34.12,3.14,1,0,0.5,1,99
2024-02-23,"Helsinki","Finlande",9.08,46.68,7.34,2,1,1.5,1,98
2024-02-24,"Helsinki","Finlande",10.25,47.26,4.56,2,-2,0,4,99
2024-02-25,"Helsinki","Finlande",9.62,58.13,5.74,3,0,1.5,3,93
2024-02-26,"Helsinki","Finlande",16.74,23.93,3.9,1,-2,-0.5,3,99
2024-02-27,"Helsinki","Finlande",16.69,34.94,3.65,2,0,1,2,99
2024-02-28,"Helsinki","Finlande",12.83,33.13,3.32,2,0,1,2,90
2024-02-29,"Helsinki","Finlande",9.02,57.11,4.22,2,-2,0,4,91
2024-03-01,"Helsinki","Finlande",9.32,52.49,4.1,3,0,1.5,3,94
2024-03-02,"Helsinki","Finlande",3.55,49.65,5.73,2,0,1,2,93
2024-03-03,"Helsinki","Finlande",8.62,46.83,10.6,2,-2,0,4,96
2024-03-04,"Helsinki","Finlande",16.04,40.8,11.02,2,-4,-1,6,96
2024-03-05,"Helsinki","Finlande",12.08,57.67,3.97,0,-4,-2,4,91
2024-03-06,"Helsinki","Finlande",22.17,51.43,4.54,2,-6,-2,8,96
2024-03-07,"Helsinki","Finlande",16.78,40.97,5.49,3,-6,-1.5,9,95
2024-03-08,"Helsinki","Finlande",9.92,53.77,3.88,0,-5,-2.5,5,91
2024-03-09,"Helsinki","Finlande",9.43,64.45,4.19,-1,-7,-4,6,96
2024-03-10,"Helsinki","Finlande",17.26,58.52,4.88,0,-8,-4,8,95
2024-03-11,"Helsinki","Finlande",28.96,40.38,5.95,0,-4,-2,4,90
2024-03-12,"Helsinki",NA,26.8271428571429,42.2057142857143,5.41571428571429,1,-4,-1.5,5,91
2024-03-13,"Helsinki",NA,24.6942857142857,44.0314285714286,4.88142857142857,0,-5,-2.5,5,99
2024-03-14,"Helsinki",NA,22.5614285714286,45.8571428571429,4.34714285714286,3,1,2,2,98
2024-03-15,"Helsinki",NA,20.4285714285714,47.6828571428571,3.81285714285714,4,2,3,2,99
2024-03-16,"Helsinki",NA,18.2957142857143,49.5085714285714,3.27857142857143,5,3,4,2,99
2024-03-17,"Helsinki",NA,16.1628571428571,51.3342857142857,2.74428571428571,2,-6,-2,8,96
2024-03-18,"Helsinki","Finlande",14.03,53.16,2.21,-1,-8,-4.5,7,83
2024-03-19,"Helsinki",NA,12.444,55.346,2.802,2,-5,-1.5,7,97
2024-03-20,"Helsinki",NA,10.858,57.532,3.394,1,-2,-0.5,3,98
2024-03-21,"Helsinki",NA,9.272,59.718,3.986,1,0,0.5,1,99
2024-03-22,"Helsinki",NA,7.686,61.904,4.578,2,0,1,2,99
2024-03-23,"Helsinki","Finlande",6.1,64.09,5.17,2,0,1,2,91
2024-03-24,"Helsinki","Finlande",3.19,61.97,2.57,1,-1,0,2,96
2024-03-25,"Helsinki","Finlande",8.63,44.06,6.16,1,-1,0,2,84
2024-03-26,"Helsinki","Finlande",12.01,47.07,6.08,1,-3,-1,4,99
2024-03-27,"Helsinki","Finlande",18.08,41.81,6.08,5,-1,2,6,95
2024-03-28,"Helsinki","Finlande",11.25,65.58,7.58,6,1,3.5,5,93
2024-03-29,"Helsinki","Finlande",7.78,54,8.29,6,2,4,4,98
2024-03-30,"Helsinki","Finlande",6.7,69.68,5.08,8,3,5.5,5,95
2024-03-31,"Helsinki","Finlande",12.65,57.54,5.46,6,2,4,4,98
2024-04-01,"Helsinki","Finlande",12.73,44.61,11.51,9,4,6.5,5,99
2024-04-02,"Helsinki","Finlande",5.64,51.92,2.6,7,2,4.5,5,93
2024-04-03,"Helsinki","Finlande",6.45,63.89,4.71,0,-5,-2.5,5,94
2024-04-04,"Helsinki","Finlande",5.66,64.33,4.17,-2,-9,-5.5,7,84
2024-04-05,"Helsinki","Finlande",5.47,68.62,3.67,0,-3,-1.5,3,96
2024-04-06,"Helsinki","Finlande",7.84,58.04,5.08,5,-3,1,8,94
2024-04-07,"Helsinki","Finlande",13.49,48.56,4.8,6,-3,1.5,9,93
2024-04-08,"Helsinki","Finlande",8.89,77.99,6.18,9,5,7,4,87
2024-04-09,"Helsinki","Finlande",24.85,55.38,6.44,11,4,7.5,7,99
2024-04-10,"Helsinki","Finlande",9.85,61.64,5.47,7,3,5,4,98
2024-04-11,"Helsinki","Finlande",9.26,69.41,4.5,7,3,5,4,81
2024-04-12,"Helsinki","Finlande",4.36,66.45,3.53,11,4,7.5,7,86
2024-04-13,"Helsinki","Finlande",7.68,56.42,2.52,7,2,4.5,5,96
2024-04-14,"Helsinki","Finlande",7.57,61.64,1.62,8,2,5,6,96
2024-04-15,"Helsinki","Finlande",8.75,62.04,4.66,6,3,4.5,3,93
2024-04-16,"Helsinki","Finlande",19.17,38.64,4.69,5,1,3,4,92
2024-04-17,"Helsinki","Finlande",8.29,48.33,3.8,3,-2,0.5,5,97
2024-04-18,"Helsinki","Finlande",6.97,67.88,4.76,3,-2,0.5,5,74
2024-04-19,"Helsinki","Finlande",6.54,61.09,3.72,3,-3,0,6,73
2024-04-20,"Helsinki","Finlande",5.64,62.2,6,0,-3,-1.5,3,80
2024-04-21,"Helsinki","Finlande",3.52,62.35,5.86,3,-5,-1,8,78
2024-04-22,"Helsinki","Finlande",8.53,58.33,4.14,1,-1,0,2,95
2024-04-23,"Helsinki","Finlande",5.78,52.06,4.41,1,-1,0,2,97
2024-04-24,"Helsinki","Finlande",6.7,68.6,5.06,4,-1,1.5,5,95
2024-04-25,"Helsinki","Finlande",10.87,52.88,3.34,4,1,2.5,3,98
2024-04-26,"Helsinki","Finlande",10.15,58.43,4.1,5,1,3,4,98
2024-04-27,"Helsinki","Finlande",7.16,75.72,4.55,9,0,4.5,9,91
2024-04-28,"Helsinki","Finlande",9.48,78.65,6.18,11,3,7,8,90
2024-04-29,"Helsinki","Finlande",13.34,78.99,9.1,14,4,9,10,87
2024-04-30,"Helsinki","Finlande",7.7,72.15,6.64,13,6,9.5,7,86
2024-05-01,"Helsinki","Finlande",8.49,65.14,3,13,5,9,8,83
2024-05-02,"Helsinki","Finlande",23.89,50.83,4.97,12,6,9,6,74
2024-05-03,"Helsinki","Finlande",13.69,67.71,4.08,10,6,8,4,75
2024-05-04,"Helsinki","Finlande",3.63,83.91,3.21,16,7,11.5,9,71
2024-05-05,"Helsinki","Finlande",4.99,76.13,2.61,10,4,7,6,75
2024-05-06,"Helsinki","Finlande",6.57,67.1,4.29,7,2,4.5,5,69
2024-05-07,"Helsinki","Finlande",7.66,69.88,4.27,9,1,5,8,73
2024-05-08,"Helsinki","Finlande",6.33,56.68,6.14,7,-2,2.5,9,51
2024-05-09,"Helsinki","Finlande",7.23,61.52,4.42,9,1,5,8,56
2024-05-10,"Helsinki","Finlande",4.8,67.51,2.9,12,5,8.5,7,96
2024-05-11,"Helsinki","Finlande",3.47,76.66,2.93,13,3,8,10,67
2024-05-12,"Helsinki","Finlande",5.87,71.64,4.04,13,2,7.5,11,56
2024-05-13,"Helsinki","Finlande",14.42,59.51,5.31,14,6,10,8,73
2024-05-14,"Helsinki","Finlande",24.75,48.49,7.99,17,11,14,6,81
2024-05-15,"Helsinki","Finlande",10.47,72.53,4.81,19,9,14,10,67
2024-05-16,"Helsinki","Finlande",8.61,87.51,6.45,20,9,14.5,11,71
2024-05-17,"Helsinki","Finlande",15.79,81.98,7.84,21,10,15.5,11,71
2024-05-18,"Helsinki","Finlande",10.23,83.02,4.76,18,10,14,8,64
2024-05-19,"Helsinki","Finlande",9.97,93.74,6.18,20,10,15,10,59
2024-05-20,"Helsinki","Finlande",8.76,84.24,4.55,18,10,14,8,65
2024-05-21,"Helsinki","Finlande",10.79,69.9,4.56,17,7,12,10,46
2024-05-22,"Helsinki","Finlande",13.11,65.79,4.74,16,8,12,8,52
2024-05-23,"Helsinki","Finlande",11.59,78.54,7.73,19,9,14,10,64
2024-05-24,"Helsinki","Finlande",13.37,79.67,9.58,22,11,16.5,11,71
2024-05-25,"Helsinki","Finlande",15.37,88.98,11.35,22,13,17.5,9,94
2024-05-26,"Helsinki","Finlande",6.75,85.05,12.66,21,12,16.5,9,80
2024-05-27,"Helsinki","Finlande",14.42,78.25,11.49,22,11,16.5,11,73
2024-05-28,"Helsinki","Finlande",19.3,81.29,11.57,23,12,17.5,11,70
2024-05-29,"Helsinki","Finlande",17.44,80.35,11.71,21,13,17,8,82
2024-05-30,"Helsinki","Finlande",13.21,93.75,9.23,21,12,16.5,9,80
2024-05-31,"Helsinki","Finlande",15.51,94.2,18.65,23,12,17.5,11,72
2024-06-01,"Helsinki","Finlande",10.77,92.84,22.21,23,14,18.5,9,78
2024-06-02,"Helsinki","Finlande",9.15,103.03,5.16,20,12,16,8,91
2024-06-03,"Helsinki","Finlande",10.83,83.08,8.63,21,14,17.5,7,84
2024-06-04,"Helsinki",NA,8.17,81.925,6.755,21,11,16,10,82
2024-06-05,"Helsinki","Finlande",5.51,80.77,4.88,19,9,14,10,61
2024-06-06,"Helsinki","Finlande",10.34,73.68,5.35,18,9,13.5,9,86
2024-06-07,"Helsinki","Finlande",5.18,76.11,5.03,16,8,12,8,76
2024-06-08,"Helsinki","Finlande",6.06,82.57,4.19,16,7,11.5,9,77
2024-06-09,"Helsinki","Finlande",7.3,72.96,4.88,13,8,10.5,5,94
2024-06-10,"Helsinki","Finlande",9.55,65.09,4.41,15,9,12,6,90
2024-06-11,"Helsinki","Finlande",8.19,66.48,5.33,16,9,12.5,7,87
2024-06-12,"Helsinki","Finlande",8.73,70.86,5.82,15,9,12,6,92
2024-06-13,"Helsinki","Finlande",6.56,73.02,5.45,16,9,12.5,7,82
2024-06-14,"Helsinki","Finlande",9.8,76.26,4.23,16,9,12.5,7,79
2024-06-15,"Helsinki","Finlande",7.94,73.08,4.07,17,8,12.5,9,74
2024-06-16,"Helsinki","Finlande",6.51,78.96,6.04,20,10,15,10,75
2024-06-17,"Helsinki","Finlande",12.2,78.16,8.09,19,13,16,6,79
2024-06-18,"Helsinki","Finlande",6.63,71.84,4.95,21,12,16.5,9,94
2024-06-19,"Helsinki","Finlande",7.83,73.44,5.39,17,11,14,6,85
2024-06-20,"Helsinki","Finlande",3.44,64.21,4.09,18,10,14,8,66
2024-06-21,"Helsinki","Finlande",3.63,67.42,4.38,20,11,15.5,9,81
2024-06-22,"Helsinki","Finlande",4.73,59.84,2.83,20,9,14.5,11,66
2024-06-23,"Helsinki","Finlande",7.66,62.12,4.68,19,11,15,8,68
2024-06-24,"Helsinki","Finlande",14.94,54.86,6.54,21,13,17,8,62
2024-06-25,"Helsinki","Finlande",4.91,61.31,4.5,25,11,18,14,62
2024-06-26,"Helsinki","Finlande",7.13,76.38,5.99,24,13,18.5,11,69
2024-06-27,"Helsinki","Finlande",6.51,85.14,6.13,25,13,19,12,69
2024-06-28,"Helsinki","Finlande",15.13,79.6,9.53,26,16,21,10,71
2024-06-29,"Helsinki","Finlande",4.72,75.57,5.77,22,14,18,8,99
2024-06-30,"Helsinki","Finlande",5.84,65.39,3.87,20,13,16.5,7,81
2024-07-01,"Helsinki","Finlande",8,65.67,5.66,20,14,17,6,95
2024-07-02,"Helsinki","Finlande",4.66,69.67,4.11,21,12,16.5,9,77
2024-07-03,"Helsinki","Finlande",6.24,64.05,3.44,20,13,16.5,7,95
2024-07-04,"Helsinki","Finlande",10.55,55.49,4.78,19,12,15.5,7,91
2024-07-05,"Helsinki","Finlande",5.14,63.96,3.68,18,12,15,6,89
2024-07-06,"Helsinki","Finlande",5.02,75.05,4.14,18,12,15,6,87
2024-07-07,"Helsinki","Finlande",6.37,73.62,6.81,19,15,17,4,97
2024-07-08,"Helsinki","Finlande",4.4,73.05,4.51,20,13,16.5,7,84
2024-07-09,"Helsinki","Finlande",6.19,70.66,5.12,20,12,16,8,75
2024-07-10,"Helsinki","Finlande",10.17,64.88,4.06,22,11,16.5,11,75
2024-07-11,"Helsinki","Finlande",11.51,59.93,6.76,20,16,18,4,93
2024-07-12,"Helsinki","Finlande",8.48,61.67,5.48,22,16,19,6,97
2024-07-13,"Helsinki","Finlande",7.81,55.05,6.36,23,14,18.5,9,86
2024-07-14,"Helsinki","Finlande",3.98,72.49,4.04,20,14,17,6,95
2024-07-15,"Helsinki","Finlande",3.97,85.76,4.29,21,14,17.5,7,88
2024-07-16,"Helsinki","Finlande",9.22,81.77,6.19,23,14,18.5,9,92
2024-07-17,"Helsinki","Finlande",6.17,76.51,6.85,22,15,18.5,7,81
2024-07-18,"Helsinki","Finlande",4.23,77.76,4.06,20,15,17.5,5,91
2024-07-19,"Helsinki","Finlande",3.41,57.1,2.18,20,15,17.5,5,95
